subj_id;img_id;likert;resp_time;order
s-000;im-040;7;6839;1
s-000;im-079;1;4109;2
s-000;im-247;1;3771;3
s-000;im-094;3;6874;4
s-000;im-251;6;4846;5
s-000;im-023;1;4888;6
s-000;im-060;1;4503;7
s-000;im-225;6;4774;8
s-000;im-238;1;5549;9
s-000;im-026;7;2932;10
s-000;im-056;2;5273;11
s-000;im-016;6;5081;12
s-000;im-267;7;4948;13
s-000;im-153;1;4999;14
s-000;im-151;6;4786;15
s-000;im-171;6;3380;16
s-000;im-010;7;5741;17
s-000;im-260;2;4769;18
s-000;im-301;2;5639;19
s-000;im-304;7;4541;20
s-000;im-190;1;6049;21
s-000;im-302;1;4979;22
s-000;im-139;2;4617;23
s-000;im-150;7;5002;24
s-000;im-303;7;4578;25
s-000;im-210;5;5167;26
s-000;im-144;1;4062;27
s-000;im-184;2;4715;28
s-000;im-229;6;4534;29
s-000;im-258;2;5550;30
s-000;im-051;6;4563;31
s-000;im-032;1;5607;32
s-000;im-287;6;4524;33
s-000;im-127;2;5133;34
s-001;im-147;3;9488;1
s-001;im-271;2;6455;2
s-001;im-226;3;6424;3
s-001;im-176;6;4958;4
s-001;im-055;3;8414;5
s-001;im-003;6;4024;6
s-001;im-112;3;6759;7
s-001;im-196;6;4017;8
s-001;im-229;-1;5691;9
s-001;im-157;6;4151;10
s-001;im-303;6;5791;11
s-001;im-302;2;9791;12
s-001;im-155;5;6815;13
s-001;im-120;6;4287;14
s-001;im-234;-1;5502;15
s-001;im-013;3;4901;16
s-001;im-071;-1;3874;17
s-001;im-091;6;5305;18
s-001;im-142;3;6749;19
s-001;im-016;-1;542;20
s-001;im-301;2;4664;21
s-001;im-053;2;3717;22
s-001;im-278;2;3421;23
s-001;im-294;6;6336;24
s-001;im-033;6;2932;25
s-001;im-101;3;5121;26
s-001;im-245;-1;8774;27
s-001;im-213;3;4558;28
s-001;im-070;6;3979;29
s-001;im-141;-1;5463;30
s-001;im-188;3;6060;31
s-001;im-269;6;4286;32
s-001;im-304;6;3342;33
s-001;im-260;6;3558;34
s-002;im-057;3;5170;1
s-002;im-267;7;4247;2
s-002;im-029;2;5895;3
s-002;im-140;1;4683;4
s-002;im-302;6;5400;5
s-002;im-164;6;4175;6
s-002;im-100;-1;4689;7
s-002;im-239;3;7378;8
s-002;im-087;1;3100;9
s-002;im-008;2;5744;10
s-002;im-303;7;3945;11
s-002;im-221;6;6404;12
s-002;im-113;1;4568;13
s-002;im-234;2;5398;14
s-002;im-304;-1;5210;15
s-002;im-294;5;6634;16
s-002;im-159;3;5468;17
s-002;im-278;1;3797;18
s-002;im-156;7;5956;19
s-002;im-158;7;2568;20
s-002;im-007;1;4978;21
s-002;im-211;3;9970;22
s-002;im-093;2;5671;23
s-002;im-114;2;6316;24
s-002;im-260;2;3836;25
s-002;im-301;2;5287;26
s-002;im-279;1;5219;27
s-002;im-205;3;5247;28
s-002;im-101;1;4894;29
s-002;im-191;6;3926;30
s-002;im-011;3;5583;31
s-002;im-099;5;4931;32
s-002;im-135;2;3912;33
s-002;im-075;2;4822;34
s-003;im-018;-1;6279;1
s-003;im-220;2;4927;2
s-003;im-283;6;4478;3
s-003;im-035;4;13356;4
s-003;im-040;7;7558;5
s-003;im-122;2;6350;6
s-003;im-075;7;4239;7
s-003;im-086;1;3687;8
s-003;im-238;6;5610;9
s-003;im-030;4;5567;10
s-003;im-296;2;5538;11
s-003;im-285;2;2265;12
s-003;im-259;4;4316;13
s-003;im-126;1;3021;14
s-003;im-191;7;2128;15
s-003;im-304;7;4119;16
s-003;im-185;7;3622;17
s-003;im-037;1;4234;18
s-003;im-242;3;8316;19
s-003;im-226;6;6019;20
s-003;im-181;7;2512;21
s-003;im-199;7;3546;22
s-003;im-294;-1;4980;23
s-003;im-007;5;6218;24
s-003;im-303;7;4555;25
s-003;im-163;6;2993;26
s-003;im-097;7;4381;27
s-003;im-301;3;8362;28
s-003;im-225;-1;5026;29
s-003;im-068;6;2756;30
s-003;im-004;6;1920;31
s-003;im-302;2;2445;32
s-003;im-110;4;4041;33
s-003;im-112;6;2644;34
s-004;im-282;2;4269;1
s-004;im-214;2;3982;2
s-004;im-212;5;4451;3
s-004;im-303;7;2269;4
s-004;im-119;5;3376;5
s-004;im-245;3;3386;6
s-004;im-302;6;5809;7
s-004;im-185;2;5598;8
s-004;im-041;5;4418;9
s-004;im-290;1;4398;10
s-004;im-107;1;3182;11
s-004;im-284;5;2875;12
s-004;im-167;7;2556;13
s-004;im-006;2;3597;14
s-004;im-150;6;3410;15
s-004;im-238;1;2200;16
s-004;im-020;2;2766;17
s-004;im-069;5;3863;18
s-004;im-038;3;2549;19
s-004;im-304;7;3127;20
s-004;im-074;5;2946;21
s-004;im-091;3;3954;22
s-004;im-286;5;4795;23
s-004;im-156;3;2926;24
s-004;im-152;6;2931;25
s-004;im-059;2;4021;26
s-004;im-158;2;4072;27
s-004;im-301;5;3301;28
s-004;im-050;6;3651;29
s-004;im-039;3;3887;30
s-004;im-249;3;5205;31
s-004;im-025;5;2122;32
s-004;im-122;2;2065;33
s-004;im-281;2;3384;34
s-005;im-090;7;4443;1
s-005;im-042;6;4250;2
s-005;im-152;7;3782;3
s-005;im-008;2;3998;4
s-005;im-250;2;6309;5
